net,length_um
_3732_,25.32µm
_0581_,25.3µm
_2559_,25.28µm
_1550_,25.26µm
_4414_,25.26µm
net271,25.26µm
_2889_,25.22µm
_2150_,25.14µm
_0549_,25.12µm
_0602_,25.12µm
_2389_,25.06µm
_1251_,24.98µm
_1033_,24.94µm
_3428_,24.86µm
clknet_leaf_47_clk,24.84µm
_3819_,24.82µm
_0550_,24.8µm
pe_array\[2\].u_pe.tap_count\[0\],24.8µm
_0664_,24.76µm
_0786_,24.76µm
_4055_,24.74µm
_1197_,24.72µm
_2699_,24.66µm
_0949_,24.64µm
_3510_,24.64µm
_0150_,24.62µm
_3563_,24.6µm
_2820_,24.575µm
pe_array\[0\].u_pe.accum_reg\[1\],24.56µm
_0593_,24.5µm
_1720_,24.48µm
net980,24.48µm
_1410_,24.44µm
_2467_,24.44µm
_2632_,24.4µm
_3877_,24.34µm
_4442_,24.3µm
_3631_,24.28µm
_1294_,24.26µm
_2451_,24.22µm
pe_array\[2\].u_pe.weight_in\[6\],24.22µm
_2757_,24.1µm
_1420_,24.08µm
_2881_,24.02µm
_3670_,24.02µm
_2668_,24.015µm
_3356_,23.98µm
_0890_,23.96µm
_3713_,23.95µm
_1685_,23.92µm
_2746_,23.9µm
_1085_,23.86µm
_3771_,23.84µm
_1915_,23.8µm
_3922_,23.76µm
_0522_,23.7µm
_0846_,23.68µm
_1269_,23.68µm
_1838_,23.66µm
_2468_,23.64µm
_1421_,23.6µm
_3635_,23.57µm
_0885_,23.5µm
_2847_,23.5µm
_3457_,23.5µm
pe_accum\[0\]\[31\],23.5µm
_0873_,23.48µm
_1918_,23.48µm
_2677_,23.46µm
_2460_,23.44µm
_3586_,23.42µm
result_data[48],23.39µm
_0687_,23.38µm
_3102_,23.36µm
_0939_,23.34µm
pe_array\[3\].u_pe.accum_reg\[8\],23.32µm
_0765_,23.28µm
_1610_,23.24µm
_3763_,23.24µm
_0690_,23.22µm
_3213_,23.22µm
_2703_,23.2µm
_0721_,23.18µm
_4302_,23.18µm
_2678_,23.16µm
_4331_,23.1µm
_3398_,23.08µm
_3053_,23.06µm
_1781_,23.04µm
pe_accum\[3\]\[1\],23.04µm
_1414_,23.02µm
_4379_,22.98µm
result_data[116],22.98µm
_4227_,22.96µm
_4377_,22.96µm
_2554_,22.92µm
clknet_leaf_67_clk,22.88µm
pe_array\[0\].u_pe.accum_reg\[25\],22.84µm
_0498_,22.82µm
_1454_,22.8µm
_1663_,22.78µm
_1488_,22.76µm
_1666_,22.76µm
_4155_,22.76µm
_0180_,22.745µm
_3475_,22.72µm
_1452_,22.7µm
_3490_,22.68µm
